file,ext,bytes
a10_calibration_boundary_and_anti_overclaim_audit_summary.json,.json,3249
a1_minimal_action_ansatz_summary.json,.json,4342
a2_supersoliton_matching_summary.json,.json,4601
a3_kernel_analysis_summary.json,.json,2819
a4_rg_emergence_summary.json,.json,3653
a5_spinor_route_split_summary.json,.json,4685
a6_gauge_reconstruction_summary.json,.json,2591
a7_positivity_unitarity_package_summary.json,.json,3625
a8_gravity_bridge_summary.json,.json,3992
a9_sm_gr_effective_reduction_summary.json,.json,3201
a_12345_pair12345_chart_glued_orientation_projector_operator_section_strict_core_v1.json,.json,6334
a_12345_pair12345_chart_glued_orientation_projector_operator_section_strict_core_v2.json,.json,9250
a_123_pair123_chart_glued_orientation_projector_operator_section_strict_core_v1.json,.json,3176
a_12_pair12_chart_glued_orientation_projector_operator_section_strict_core_v1.json,.json,4274
a_1_pair1_orientation_projector_operator_strict_core_v1.json,.json,3364
a_2_pair2_orientation_projector_operator_strict_core_v1.json,.json,2518
a_3_pair3_orientation_projector_operator_strict_core_v1.json,.json,2087
a_4_pair4_orientation_projector_operator_strict_core_v1.json,.json,2083
a_5_pair5_orientation_projector_operator_strict_core_v1.json,.json,2056
alpha12_pair1_pair2_transition_angle_strict_derived_from_sigma_int_slot_free_theta_pair_v1.json,.json,1611
alpha12_pair1_pair2_transition_angle_strict_derived_from_sigma_int_slot_free_theta_pair_v1_summary.json,.json,563
alpha_aut_z12_v1_action_on_phase_12_v1.json,.json,864
alpha_geo_strict_derived_v1.json,.json,762
aut_z12_v1_action_on_iso_z12_to_phase_12_family.json,.json,757
aut_z12_v1_units_group.json,.json,1003
ax10_axiom_lane_preobserver_source_action_coherence_instance.json,.json,3733
ax10_axiom_lane_preobserver_source_action_coherence_instance_summary.json,.json,392
ax11_canonical_ontology_supported_preobserver_source_eom_coherence_instance.json,.json,3634
ax11_canonical_ontology_supported_preobserver_source_eom_coherence_instance_summary.json,.json,386
ax12_canonical_ontology_supported_preobserver_target_action_coherence_instance.json,.json,4440
ax12_canonical_ontology_supported_preobserver_target_action_coherence_instance_summary.json,.json,392
ax13_canonical_ontology_supported_preobserver_target_eom_coherence_instance.json,.json,4215
ax13_canonical_ontology_supported_preobserver_target_eom_coherence_instance_summary.json,.json,386
ax14_canonical_ontology_supported_preobserver_direct_m2_psi7_source_action_coherence_instance.json,.json,4508
ax14_canonical_ontology_supported_preobserver_direct_m2_psi7_source_action_coherence_instance_summary.json,.json,422
ax15_selector_requirement_theory_level_acceptance_packet.json,.json,1376
ax15_selector_requirement_theory_level_acceptance_packet_summary.json,.json,579
ax18_strict_extension_lane_sigma_int_residual_orientation_datum_instance_summary.json,.json,1169
ax19_strict_extension_lane_sigma_int_residual_orientation_closure_packet_summary.json,.json,577
ax1_minimal_selector_axiom_packet_summary.json,.json,771
ax20_canonical_ontology_supported_preobserver_direct_m2_psi10_target_coherence_instance.json,.json,5361
ax20_canonical_ontology_supported_preobserver_direct_m2_psi10_target_coherence_instance_summary.json,.json,411
ax21_strict_extension_lane_sigma_int_to_theta_selector_ingredient_closure_packet_summary.json,.json,780
ax22_strict_extension_lane_publication_ready_summary_packet_summary.json,.json,503
ax23_strict_extension_lane_z12_generator_fix_and_shannon_kl_o2_cut_closure_packet_summary.json,.json,746
ax24_p434_diagonal_mode2_defect_eval.json,.json,1400
ax24_p434_diagonal_mode2_defect_eval_summary.json,.json,222
ax24_p434_input_sigma_opposite_pair_sum_values.json,.json,251
ax24_p437_diagonal_sigma_opposite_pair_sums.json,.json,1635
ax24_p437_diagonal_sigma_opposite_pair_sums_summary.json,.json,382
ax24_strict_extension_lane_qw2122_uniform_vacuum_and_self_couplings_value_provider_packet.json,.json,2505
ax24_strict_extension_lane_qw2122_uniform_vacuum_and_self_couplings_value_provider_packet_summary.json,.json,390
ax25_p434_diagonal_mode2_defect_eval.json,.json,1504
ax25_p434_diagonal_mode2_defect_eval_summary.json,.json,250
ax25_p434_input_sigma_opposite_pair_sum_values.json,.json,254
ax25_p437_diagonal_sigma_opposite_pair_sums.json,.json,1635
ax25_p437_diagonal_sigma_opposite_pair_sums_summary.json,.json,379
ax25_strict_extension_lane_qw2122_shannon_directed_vacuum_and_self_couplings_value_provider_packet.json,.json,3098
ax25_strict_extension_lane_qw2122_shannon_directed_vacuum_and_self_couplings_value_provider_packet_summary.json,.json,447
ax26_p434_diagonal_mode2_defect_eval.json,.json,1507
ax26_p434_diagonal_mode2_defect_eval_summary.json,.json,240
ax26_p434_input_sigma_opposite_pair_sum_values.json,.json,250
ax26_p437_diagonal_sigma_opposite_pair_sums.json,.json,1603
ax26_p437_diagonal_sigma_opposite_pair_sums_summary.json,.json,383
ax26_strict_extension_lane_qw2122_parity_vacuum_and_self_couplings_value_provider_packet.json,.json,2634
ax26_strict_extension_lane_qw2122_parity_vacuum_and_self_couplings_value_provider_packet_summary.json,.json,429
ax27_p434_diagonal_mode2_defect_eval.json,.json,1459
